model,base_url,temperature,seed,dataset,case_count,routes,route_config_sha256,prompt_version,scoring_formula,token_one,token_zero,created_at_utc,id,difficulty,message,expected_route,predicted_route,correct,score_margin,ranking_confidence_relative,candidates_json,latency_sec,prompt_tokens,completion_tokens,error
qwen3-4b,http://localhost:8000,0.0,0,dataset_v2.jsonl,30,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,independent-v1,logP(1)-logP(0),16,15,2026-09-04T12:22:08.466156+00:00,case_001,easy,Пишет ошибку 403.,CONTINUE,CONTINUE,True,6.718749999998181,0.9987934102877515,"[{""completion_tokens"": 1, ""latency_sec"": 0.6102119879999464, ""logp_match"": 0.0, ""logp_no_match"": -19.90625, ""match_probability_binary"": 0.9999999977362657, ""name"": ""CONTINUE"", ""prompt_tokens"": 291, ""relative_ranking_softmax"": 0.9987934102877515, ""sampled_token"": ""1"", ""score"": 19.90625}, {""completion_tokens"": 1, ""latency_sec"": 0.048245226999938495, ""logp_match"": -1.9073468138230965e-06, ""logp_no_match"": -13.187501907348633, ""match_probability_binary"": 0.9999981261246162, ""name"": ""NEW"", ""prompt_tokens"": 303, ""relative_ranking_softmax"": 0.0012065897122485812, ""sampled_token"": ""1"", ""score"": 13.187500000001819}]",0.6584572149998849,594,2,
qwen3-4b,http://localhost:8000,0.0,0,dataset_v2.jsonl,30,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,independent-v1,logP(1)-logP(0),16,15,2026-09-04T12:22:08.466156+00:00,case_002,easy,А платить можно помесячно?,CONTINUE,CONTINUE,True,3.750000357627812,0.9770226381185066,"[{""completion_tokens"": 1, ""latency_sec"": 0.06149737999999161, ""logp_match"": 0.0, ""logp_no_match"": -18.5, ""match_probability_binary"": 0.9999999907625504, ""name"": ""CONTINUE"", ""prompt_tokens"": 289, ""relative_ranking_softmax"": 0.9770226381185066, ""sampled_token"": ""1"", ""score"": 18.5}, {""completion_tokens"": 1, ""latency_sec"": 0.04153586899997208, ""logp_match"": -3.576278118089249e-07, ""logp_no_match"": -14.75, ""match_probability_binary"": 0.9999996072136592, ""name"": ""NEW"", ""prompt_tokens"": 301, ""relative_ranking_softmax"": 0.022977361881493474, ""sampled_token"": ""1"", ""score"": 14.749999642372188}]",0.10303324899996369,590,2,
qwen3-4b,http://localhost:8000,0.0,0,dataset_v2.jsonl,30,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,independent-v1,logP(1)-logP(0),16,15,2026-09-04T12:22:08.466156+00:00,case_003,easy,А сколько стоит тариф Pro?,NEW,CONTINUE,False,8.749999663079507,0.9998415637275255,"[{""completion_tokens"": 1, ""latency_sec"": 0.04826625700002296, ""logp_match"": -0.00020346954988781363, ""logp_no_match"": -8.500203132629395, ""match_probability_binary"": 0.99979657295342, ""name"": ""CONTINUE"", ""prompt_tokens"": 290, ""relative_ranking_softmax"": 0.9998415637275255, ""sampled_token"": ""1"", ""score"": 8.499999663079507}, {""completion_tokens"": 1, ""latency_sec"": 0.04109384399998817, ""logp_match"": -0.8259394764900208, ""logp_no_match"": -0.5759394764900208, ""match_probability_binary"": 0.4378234991142019, ""name"": ""NEW"", ""prompt_tokens"": 302, ""relative_ranking_softmax"": 0.00015843627247448663, ""sampled_token"": ""0"", ""score"": -0.25}]",0.08936010100001113,592,2,
qwen3-4b,http://localhost:8000,0.0,0,dataset_v2.jsonl,30,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,independent-v1,logP(1)-logP(0),16,15,2026-09-04T12:22:08.466156+00:00,case_004,easy,С 10 по 17 сентября.,CONTINUE,CONTINUE,True,5.187499999999545,0.9944450752963063,"[{""completion_tokens"": 1, ""latency_sec"": 0.05192658800001482, ""logp_match"": 0.0, ""logp_no_match"": -19.046875, ""match_probability_binary"": 0.9999999946537743, ""name"": ""CONTINUE"", ""prompt_tokens"": 284, ""relative_ranking_softmax"": 0.9944450752963063, ""sampled_token"": ""1"", ""score"": 19.046875}, {""completion_tokens"": 1, ""latency_sec"": 0.04439676000004056, ""logp_match"": -9.536738616588991e-07, ""logp_no_match"": -13.859375953674316, ""match_probability_binary"": 0.9999990429172271, ""name"": ""NEW"", ""prompt_tokens"": 296, ""relative_ranking_softmax"": 0.005554924703693615, ""sampled_token"": ""1"", ""score"": 13.859375000000455}]",0.09632334800005538,580,2,
qwen3-4b,http://localhost:8000,0.0,0,dataset_v2.jsonl,30,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,independent-v1,logP(1)-logP(0),16,15,2026-09-04T12:22:08.466156+00:00,case_005,easy,А как оформить больничный?,NEW,CONTINUE,False,6.34374993480742,0.9982453854757134,"[{""completion_tokens"": 1, ""latency_sec"": 0.04460823900001287, ""logp_match"": -0.011756068095564842, ""logp_no_match"": -4.44925594329834, ""match_probability_binary"": 0.9883127405628144, ""name"": ""CONTINUE"", ""prompt_tokens"": 282, ""relative_ranking_softmax"": 0.9982453854757134, ""sampled_token"": ""1"", ""score"": 4.437499875202775}, {""completion_tokens"": 1, ""latency_sec"": 0.04437559999996665, ""logp_match"": -2.044826030731201, ""logp_no_match"": -0.1385759711265564, ""match_probability_binary"": 0.12940272487671914, ""name"": ""NEW"", ""prompt_tokens"": 294, ""relative_ranking_softmax"": 0.0017546145242866246, ""sampled_token"": ""0"", ""score"": -1.9062500596046448}]",0.08898383899997953,576,2,
qwen3-4b,http://localhost:8000,0.0,0,dataset_v2.jsonl,30,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,independent-v1,logP(1)-logP(0),16,15,2026-09-04T12:22:08.466156+00:00,case_006,easy,Лишний платёж вернётся автоматически?,CONTINUE,CONTINUE,True,5.609375119186097,0.99635001340223,"[{""completion_tokens"": 1, ""latency_sec"": 0.05542171799993412, ""logp_match"": 0.0, ""logp_no_match"": -17.515625, ""match_probability_binary"": 0.9999999752793034, ""name"": ""CONTINUE"", ""prompt_tokens"": 295, ""relative_ranking_softmax"": 0.99635001340223, ""sampled_token"": ""1"", ""score"": 17.515625}, {""completion_tokens"": 1, ""latency_sec"": 0.04540662700003395, ""logp_match"": -6.794906312279636e-06, ""logp_no_match"": -11.906256675720215, ""match_probability_binary"": 0.9999932519476056, ""name"": ""NEW"", ""prompt_tokens"": 307, ""relative_ranking_softmax"": 0.003649986597769999, ""sampled_token"": ""1"", ""score"": 11.906249880813903}]",0.10082834499996807,602,2,
qwen3-4b,http://localhost:8000,0.0,0,dataset_v2.jsonl,30,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,independent-v1,logP(1)-logP(0),16,15,2026-09-04T12:22:08.466156+00:00,case_007,easy,Как удалить мой аккаунт?,NEW,CONTINUE,False,7.750000098720761,0.9995694429611619,"[{""completion_tokens"": 1, ""latency_sec"": 0.04732474000002185, ""logp_match"": -6.033649444580078, ""logp_no_match"": -0.002399662509560585, ""match_probability_binary"": 0.0023967313911954784, ""name"": ""CONTINUE"", ""prompt_tokens"": 291, ""relative_ranking_softmax"": 0.9995694429611619, ""sampled_token"": ""0"", ""score"": -6.0312497820705175}, {""completion_tokens"": 1, ""latency_sec"": 0.040690240999992966, ""logp_match"": -13.781250953674316, ""logp_no_match"": -1.0728830375228426e-06, ""match_probability_binary"": 1.0348532635506445e-06, ""name"": ""NEW"", ""prompt_tokens"": 303, ""relative_ranking_softmax"": 0.0004305570388379949, ""sampled_token"": ""0"", ""score"": -13.781249880791279}]",0.08801498100001481,594,2,
qwen3-4b,http://localhost:8000,0.0,0,dataset_v2.jsonl,30,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,independent-v1,logP(1)-logP(0),16,15,2026-09-04T12:22:08.466156+00:00,case_008,easy,PDF тоже поддерживается?,CONTINUE,CONTINUE,True,8.593749759107595,0.9998147742121236,"[{""completion_tokens"": 1, ""latency_sec"": 0.05074100899992118, ""logp_match"": 0.0, ""logp_no_match"": -18.15625, ""match_probability_binary"": 0.9999999869731082, ""name"": ""CONTINUE"", ""prompt_tokens"": 283, ""relative_ranking_softmax"": 0.9998147742121236, ""sampled_token"": ""1"", ""score"": 18.15625}, {""completion_tokens"": 1, ""latency_sec"": 0.04436002099998859, ""logp_match"": -7.033100700937212e-05, ""logp_no_match"": -9.562570571899414, ""match_probability_binary"": 0.9999296881742672, ""name"": ""NEW"", ""prompt_tokens"": 295, ""relative_ranking_softmax"": 0.00018522578787652622, ""sampled_token"": ""1"", ""score"": 9.562500240892405}]",0.09510102999990977,578,2,
qwen3-4b,http://localhost:8000,0.0,0,dataset_v2.jsonl,30,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,independent-v1,logP(1)-logP(0),16,15,2026-09-04T12:22:08.466156+00:00,case_009,easy,А где поменять пароль?,NEW,CONTINUE,False,17.031249968298653,0.9999999598743482,"[{""completion_tokens"": 1, ""latency_sec"": 0.04480539199994382, ""logp_match"": -2.5033637939486653e-05, ""logp_no_match"": -10.593774795532227, ""match_probability_binary"": 0.9999749284001825, ""name"": ""CONTINUE"", ""prompt_tokens"": 285, ""relative_ranking_softmax"": 0.9999999598743482, ""sampled_token"": ""1"", ""score"": 10.593749761894287}, {""completion_tokens"": 1, ""latency_sec"": 0.04463407899993399, ""logp_match"": -6.439099311828613, ""logp_no_match"": -0.001599105424247682, ""match_probability_binary"": 0.0015978451647420651, ""name"": ""NEW"", ""prompt_tokens"": 297, ""relative_ranking_softmax"": 4.0125651919056896e-08, ""sampled_token"": ""0"", ""score"": -6.437500206404366}]",0.08943947099987781,582,2,
qwen3-4b,http://localhost:8000,0.0,0,dataset_v2.jsonl,30,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,independent-v1,logP(1)-logP(0),16,15,2026-09-04T12:22:08.466156+00:00,case_010,easy,А можно ещё за прошлый квартал?,CONTINUE,CONTINUE,True,7.9218752381730155,0.9996374100200447,"[{""completion_tokens"": 1, ""latency_sec"": 0.05570409099993867, ""logp_match"": 0.0, ""logp_no_match"": -18.640625, ""match_probability_binary"": 0.9999999919743648, ""name"": ""CONTINUE"", ""prompt_tokens"": 297, ""relative_ranking_softmax"": 0.9996374100200447, ""sampled_token"": ""1"", ""score"": 18.640625}, {""completion_tokens"": 1, ""latency_sec"": 0.04621420199998738, ""logp_match"": -2.2172682292875834e-05, ""logp_no_match"": -10.718771934509277, ""match_probability_binary"": 0.9999778743256346, ""name"": ""NEW"", ""prompt_tokens"": 309, ""relative_ranking_softmax"": 0.00036258997995537815, ""sampled_token"": ""1"", ""score"": 10.718749761826984}]",0.10191829299992605,606,2,
