model,served_models_json,base_url,prompt_version,mode,temperature,seed,thinking_enabled,max_completion_tokens,structured_output,route_names_json,conditions_json,dataset,dataset_sha256,routes,routes_sha256,case_count_per_condition,request_count,created_at_utc,condition,mode,id,difficulty,message,expected_route,predicted_route,correct,reason,prompt_route_order,enum_route_order,structured_response,prompt_tokens,completion_tokens,error,request_latency_sec
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-factorial-v1,reason-route,0,0,False,128,json_schema,"[""CONTINUE"", ""NEW""]","{""E1"": {""prompt_order"": [""CONTINUE"", ""NEW""], ""enum_order"": [""CONTINUE"", ""NEW""]}, ""E2"": {""prompt_order"": [""NEW"", ""CONTINUE""], ""enum_order"": [""CONTINUE"", ""NEW""]}, ""E3"": {""prompt_order"": [""CONTINUE"", ""NEW""], ""enum_order"": [""NEW"", ""CONTINUE""]}, ""E4"": {""prompt_order"": [""NEW"", ""CONTINUE""], ""enum_order"": [""NEW"", ""CONTINUE""]}}",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,120,2026-09-07T15:47:51.013875+00:00,E1,reason-route,case_001,easy,Пишет ошибку 403.,CONTINUE,CONTINUE,True,"Пользователь указал конкретную ошибку (403), что позволяет продолжить текущую задачу, связанную с входом в систему.","[""CONTINUE"", ""NEW""]","[""CONTINUE"", ""NEW""]","{""reason"": ""Пользователь указал конкретную ошибку (403), что позволяет продолжить текущую задачу, связанную с входом в систему."", ""route"": ""CONTINUE""}",350,48,,0.4763167519995477
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-factorial-v1,reason-route,0,0,False,128,json_schema,"[""CONTINUE"", ""NEW""]","{""E1"": {""prompt_order"": [""CONTINUE"", ""NEW""], ""enum_order"": [""CONTINUE"", ""NEW""]}, ""E2"": {""prompt_order"": [""NEW"", ""CONTINUE""], ""enum_order"": [""CONTINUE"", ""NEW""]}, ""E3"": {""prompt_order"": [""CONTINUE"", ""NEW""], ""enum_order"": [""NEW"", ""CONTINUE""]}, ""E4"": {""prompt_order"": [""NEW"", ""CONTINUE""], ""enum_order"": [""NEW"", ""CONTINUE""]}}",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,120,2026-09-07T15:47:51.013875+00:00,E1,reason-route,case_002,easy,А платить можно помесячно?,CONTINUE,CONTINUE,True,"Пользователь задаёт вопрос о возможности платить помесячно при переходе на тариф Pro, что связано с текущей задачей, но требует уточнения условий оплаты.","[""CONTINUE"", ""NEW""]","[""CONTINUE"", ""NEW""]","{""reason"": ""Пользователь задаёт вопрос о возможности платить помесячно при переходе на тариф Pro, что связано с текущей задачей, но требует уточнения условий оплаты."", ""route"": ""CONTINUE""}",348,64,,0.669296754997049
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-factorial-v1,reason-route,0,0,False,128,json_schema,"[""CONTINUE"", ""NEW""]","{""E1"": {""prompt_order"": [""CONTINUE"", ""NEW""], ""enum_order"": [""CONTINUE"", ""NEW""]}, ""E2"": {""prompt_order"": [""NEW"", ""CONTINUE""], ""enum_order"": [""CONTINUE"", ""NEW""]}, ""E3"": {""prompt_order"": [""CONTINUE"", ""NEW""], ""enum_order"": [""NEW"", ""CONTINUE""]}, ""E4"": {""prompt_order"": [""NEW"", ""CONTINUE""], ""enum_order"": [""NEW"", ""CONTINUE""]}}",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,120,2026-09-07T15:47:51.013875+00:00,E1,reason-route,case_003,easy,А сколько стоит тариф Pro?,NEW,NEW,True,"Новое сообщение вводит новую самостоятельную задачу, так как вопрос о стоимости тарифа Pro не связан с предыдущей задачей о входе в систему.","[""CONTINUE"", ""NEW""]","[""CONTINUE"", ""NEW""]","{""reason"": ""Новое сообщение вводит новую самостоятельную задачу, так как вопрос о стоимости тарифа Pro не связан с предыдущей задачей о входе в систему."", ""route"": ""NEW""}",349,57,,0.6000342249972164
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-factorial-v1,reason-route,0,0,False,128,json_schema,"[""CONTINUE"", ""NEW""]","{""E1"": {""prompt_order"": [""CONTINUE"", ""NEW""], ""enum_order"": [""CONTINUE"", ""NEW""]}, ""E2"": {""prompt_order"": [""NEW"", ""CONTINUE""], ""enum_order"": [""CONTINUE"", ""NEW""]}, ""E3"": {""prompt_order"": [""CONTINUE"", ""NEW""], ""enum_order"": [""NEW"", ""CONTINUE""]}, ""E4"": {""prompt_order"": [""NEW"", ""CONTINUE""], ""enum_order"": [""NEW"", ""CONTINUE""]}}",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,120,2026-09-07T15:47:51.013875+00:00,E1,reason-route,case_004,easy,С 10 по 17 сентября.,CONTINUE,CONTINUE,True,"Новое сообщение содержит конкретные даты для отпуска, что продолжает текущую задачу о оформлении отпуска.","[""CONTINUE"", ""NEW""]","[""CONTINUE"", ""NEW""]","{""reason"": ""Новое сообщение содержит конкретные даты для отпуска, что продолжает текущую задачу о оформлении отпуска."", ""route"": ""CONTINUE""}",343,44,,0.47938136699667666
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-factorial-v1,reason-route,0,0,False,128,json_schema,"[""CONTINUE"", ""NEW""]","{""E1"": {""prompt_order"": [""CONTINUE"", ""NEW""], ""enum_order"": [""CONTINUE"", ""NEW""]}, ""E2"": {""prompt_order"": [""NEW"", ""CONTINUE""], ""enum_order"": [""CONTINUE"", ""NEW""]}, ""E3"": {""prompt_order"": [""CONTINUE"", ""NEW""], ""enum_order"": [""NEW"", ""CONTINUE""]}, ""E4"": {""prompt_order"": [""NEW"", ""CONTINUE""], ""enum_order"": [""NEW"", ""CONTINUE""]}}",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,120,2026-09-07T15:47:51.013875+00:00,E1,reason-route,case_005,easy,А как оформить больничный?,NEW,NEW,True,"Новое сообщение вводит новую самостоятельную задачу, связанную с оформлением больничного, что отличается от текущей задачи по оформлению отпуска.","[""CONTINUE"", ""NEW""]","[""CONTINUE"", ""NEW""]","{""reason"": ""Новое сообщение вводит новую самостоятельную задачу, связанную с оформлением больничного, что отличается от текущей задачи по оформлению отпуска."", ""route"": ""NEW""}",341,55,,0.5841549499964458
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-factorial-v1,reason-route,0,0,False,128,json_schema,"[""CONTINUE"", ""NEW""]","{""E1"": {""prompt_order"": [""CONTINUE"", ""NEW""], ""enum_order"": [""CONTINUE"", ""NEW""]}, ""E2"": {""prompt_order"": [""NEW"", ""CONTINUE""], ""enum_order"": [""CONTINUE"", ""NEW""]}, ""E3"": {""prompt_order"": [""CONTINUE"", ""NEW""], ""enum_order"": [""NEW"", ""CONTINUE""]}, ""E4"": {""prompt_order"": [""NEW"", ""CONTINUE""], ""enum_order"": [""NEW"", ""CONTINUE""]}}",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,120,2026-09-07T15:47:51.013875+00:00,E1,reason-route,case_006,easy,Лишний платёж вернётся автоматически?,CONTINUE,CONTINUE,True,"Пользователь спрашивает о возврате лишнего платежа, что связано с текущей задачей проверки информации о платеже.","[""CONTINUE"", ""NEW""]","[""CONTINUE"", ""NEW""]","{""reason"": ""Пользователь спрашивает о возврате лишнего платежа, что связано с текущей задачей проверки информации о платеже."", ""route"": ""CONTINUE""}",354,48,,0.5119430139966425
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-factorial-v1,reason-route,0,0,False,128,json_schema,"[""CONTINUE"", ""NEW""]","{""E1"": {""prompt_order"": [""CONTINUE"", ""NEW""], ""enum_order"": [""CONTINUE"", ""NEW""]}, ""E2"": {""prompt_order"": [""NEW"", ""CONTINUE""], ""enum_order"": [""CONTINUE"", ""NEW""]}, ""E3"": {""prompt_order"": [""CONTINUE"", ""NEW""], ""enum_order"": [""NEW"", ""CONTINUE""]}, ""E4"": {""prompt_order"": [""NEW"", ""CONTINUE""], ""enum_order"": [""NEW"", ""CONTINUE""]}}",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,120,2026-09-07T15:47:51.013875+00:00,E1,reason-route,case_007,easy,Как удалить мой аккаунт?,NEW,NEW,True,"Сообщение о удалении аккаунта не связано с текущей задачей по проверке платежей, поэтому это новая самостоятельная задача.","[""CONTINUE"", ""NEW""]","[""CONTINUE"", ""NEW""]","{""reason"": ""Сообщение о удалении аккаунта не связано с текущей задачей по проверке платежей, поэтому это новая самостоятельная задача."", ""route"": ""NEW""}",350,50,,0.5266985990019748
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-factorial-v1,reason-route,0,0,False,128,json_schema,"[""CONTINUE"", ""NEW""]","{""E1"": {""prompt_order"": [""CONTINUE"", ""NEW""], ""enum_order"": [""CONTINUE"", ""NEW""]}, ""E2"": {""prompt_order"": [""NEW"", ""CONTINUE""], ""enum_order"": [""CONTINUE"", ""NEW""]}, ""E3"": {""prompt_order"": [""CONTINUE"", ""NEW""], ""enum_order"": [""NEW"", ""CONTINUE""]}, ""E4"": {""prompt_order"": [""NEW"", ""CONTINUE""], ""enum_order"": [""NEW"", ""CONTINUE""]}}",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,120,2026-09-07T15:47:51.013875+00:00,E1,reason-route,case_008,easy,PDF тоже поддерживается?,CONTINUE,CONTINUE,True,"Новое сообщение отвечает на вопрос ассистента и подтверждает, что PDF поддерживается, что продолжает текущую задачу.","[""CONTINUE"", ""NEW""]","[""CONTINUE"", ""NEW""]","{""reason"": ""Новое сообщение отвечает на вопрос ассистента и подтверждает, что PDF поддерживается, что продолжает текущую задачу."", ""route"": ""CONTINUE""}",342,48,,0.5087870469942573
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-factorial-v1,reason-route,0,0,False,128,json_schema,"[""CONTINUE"", ""NEW""]","{""E1"": {""prompt_order"": [""CONTINUE"", ""NEW""], ""enum_order"": [""CONTINUE"", ""NEW""]}, ""E2"": {""prompt_order"": [""NEW"", ""CONTINUE""], ""enum_order"": [""CONTINUE"", ""NEW""]}, ""E3"": {""prompt_order"": [""CONTINUE"", ""NEW""], ""enum_order"": [""NEW"", ""CONTINUE""]}, ""E4"": {""prompt_order"": [""NEW"", ""CONTINUE""], ""enum_order"": [""NEW"", ""CONTINUE""]}}",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,120,2026-09-07T15:47:51.013875+00:00,E1,reason-route,case_009,easy,А где поменять пароль?,NEW,NEW,True,"Сообщение «А где поменять пароль?» вводит новую самостоятельную задачу, связанную с изменением пароля, что не связано напрямую с текущей задачей загрузки документа.","[""CONTINUE"", ""NEW""]","[""CONTINUE"", ""NEW""]","{""reason"": ""Сообщение «А где поменять пароль?» вводит новую самостоятельную задачу, связанную с изменением пароля, что не связано напрямую с текущей задачей загрузки документа."", ""route"": ""NEW""}",344,67,,0.6852366950042779
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-factorial-v1,reason-route,0,0,False,128,json_schema,"[""CONTINUE"", ""NEW""]","{""E1"": {""prompt_order"": [""CONTINUE"", ""NEW""], ""enum_order"": [""CONTINUE"", ""NEW""]}, ""E2"": {""prompt_order"": [""NEW"", ""CONTINUE""], ""enum_order"": [""CONTINUE"", ""NEW""]}, ""E3"": {""prompt_order"": [""CONTINUE"", ""NEW""], ""enum_order"": [""NEW"", ""CONTINUE""]}, ""E4"": {""prompt_order"": [""NEW"", ""CONTINUE""], ""enum_order"": [""NEW"", ""CONTINUE""]}}",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,120,2026-09-07T15:47:51.013875+00:00,E1,reason-route,case_010,easy,А можно ещё за прошлый квартал?,CONTINUE,CONTINUE,True,"Сообщение пользователя продолжает текущую задачу, задавая дополнительный запрос по отчёту за прошлый квартал, что связано с предыдущей задачей.","[""CONTINUE"", ""NEW""]","[""CONTINUE"", ""NEW""]","{""reason"": ""Сообщение пользователя продолжает текущую задачу, задавая дополнительный запрос по отчёту за прошлый квартал, что связано с предыдущей задачей."", ""route"": ""CONTINUE""}",356,62,,0.6410322779993294
