id,difficulty,message,expected_route,predicted_route,predicted_sum,correct,correct_sum,confidence,margin,routes_json,latency_sec,error
case_001,easy,Пишет ошибку 403.,CONTINUE,CONTINUE,CONTINUE,True,True,0.9999997126347355,0.999999425269471,"{""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-2.90866428258596e-05, -5.245195097813848e-06], ""sum_logprob"": -3.433183792367345e-05, ""mean_logprob"": -1.7165918961836724e-05, ""normalized_score_probability"": 0.9999997126347355}, ""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-15.062528610229492], ""sum_logprob"": -15.062528610229492, ""mean_logprob"": -15.062528610229492, ""normalized_score_probability"": 2.873652645284642e-07}}",0.2736831649999658,
case_002,easy,А платить можно помесячно?,CONTINUE,CONTINUE,CONTINUE,True,True,0.9999178036660641,0.9998356073321283,"{""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.00014447122521232814, -8.22540732769994e-06], ""sum_logprob"": -0.00015269663254002808, ""mean_logprob"": -7.634831627001404e-05, ""normalized_score_probability"": 0.9999178036660641}, ""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-9.406394004821777], ""sum_logprob"": -9.406394004821777, ""mean_logprob"": -9.406394004821777, ""normalized_score_probability"": 8.219633393581151e-05}}",0.24650938799823052,
case_003,easy,А сколько стоит тариф Pro?,NEW,NEW,NEW,True,True,0.9999685535041294,0.9999371070082588,"{""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-20.734376907348633, -9.536697689327411e-06], ""sum_logprob"": -20.734386444046322, ""mean_logprob"": -10.367193222023161, ""normalized_score_probability"": 3.144649587058173e-05}, ""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-1.6689286894688848e-06], ""sum_logprob"": -1.6689286894688848e-06, ""mean_logprob"": -1.6689286894688848e-06, ""normalized_score_probability"": 0.9999685535041294}}",0.24834183399980247,
case_004,easy,С 10 по 17 сентября.,CONTINUE,CONTINUE,CONTINUE,True,True,0.9999999816296724,0.9999999632593448,"{""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-6.639736966462806e-05, -8.940656698541716e-06], ""sum_logprob"": -7.533802636316977e-05, ""mean_logprob"": -3.766901318158489e-05, ""normalized_score_probability"": 0.9999999816296724}, ""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-17.81256675720215], ""sum_logprob"": -17.81256675720215, ""mean_logprob"": -17.81256675720215, ""normalized_score_probability"": 1.8370327561331103e-08}}",0.24337391200060665,
case_005,easy,А как оформить больничный?,NEW,NEW,NEW,True,True,0.9985104898158511,0.9970209796317023,"{""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-13.015630722045898, -1.537788011773955e-05], ""sum_logprob"": -13.015646099926016, ""mean_logprob"": -6.507823049963008, ""normalized_score_probability"": 0.0014895101841488065}, ""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-5.722029527532868e-06], ""sum_logprob"": -5.722029527532868e-06, ""mean_logprob"": -5.722029527532868e-06, ""normalized_score_probability"": 0.9985104898158511}}",0.2397553370010428,
case_006,easy,Лишний платёж вернётся автоматически?,CONTINUE,CONTINUE,CONTINUE,True,True,0.9998557538833549,0.9997115077667098,"{""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.0001958416833076626, -4.529942543740617e-06], ""sum_logprob"": -0.00020037162585140322, ""mean_logprob"": -0.00010018581292570161, ""normalized_score_probability"": 0.9998557538833549}, ""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-8.843945503234863], ""sum_logprob"": -8.843945503234863, ""mean_logprob"": -8.843945503234863, ""normalized_score_probability"": 0.00014424611664508465}}",0.24735352999960014,
case_007,easy,Как удалить мой аккаунт?,NEW,NEW,NEW,True,True,0.9999861540614576,0.9999723081229153,"{""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-22.375001907348633, -1.1205610462639015e-05], ""sum_logprob"": -22.375013112959095, ""mean_logprob"": -11.187506556479548, ""normalized_score_probability"": 1.3845938542342675e-05}, ""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-1.7881377516459906e-06], ""sum_logprob"": -1.7881377516459906e-06, ""mean_logprob"": -1.7881377516459906e-06, ""normalized_score_probability"": 0.9999861540614576}}",0.2467206660003285,
case_008,easy,PDF тоже поддерживается?,CONTINUE,CONTINUE,CONTINUE,True,True,0.9999847936971274,0.9999695873942549,"{""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-7.509902934543788e-05, -4.887569048150908e-06], ""sum_logprob"": -7.998659839358879e-05, ""mean_logprob"": -3.9993299196794396e-05, ""normalized_score_probability"": 0.9999847936971274}, ""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-11.093825340270996], ""sum_logprob"": -11.093825340270996, ""mean_logprob"": -11.093825340270996, ""normalized_score_probability"": 1.5206302872592523e-05}}",0.24069528899963188,
case_009,easy,А где поменять пароль?,NEW,NEW,NEW,True,True,0.9999379496851909,0.9998758993703818,"{""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-19.375001907348633, -8.702239938429557e-06], ""sum_logprob"": -19.37501060958857, ""mean_logprob"": -9.687505304794286, ""normalized_score_probability"": 6.205031480914208e-05}, ""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-2.3841830625315197e-06], ""sum_logprob"": -2.3841830625315197e-06, ""mean_logprob"": -2.3841830625315197e-06, ""normalized_score_probability"": 0.9999379496851909}}",0.24187828100002662,
case_010,easy,А можно ещё за прошлый квартал?,CONTINUE,CONTINUE,CONTINUE,True,True,0.9999959072036118,0.9999918144072236,"{""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-6.472854875028133e-05, -8.940656698541716e-06], ""sum_logprob"": -7.366920544882305e-05, ""mean_logprob"": -3.6834602724411525e-05, ""normalized_score_probability"": 0.9999959072036118}, ""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-12.406314849853516], ""sum_logprob"": -12.406314849853516, ""mean_logprob"": -12.406314849853516, ""normalized_score_probability"": 4.092796388131511e-06}}",0.2505123499977344,
