model,served_models_json,base_url,prompt_version,system_prompt,temperature,seed,thinking_enabled,structured_output,route_names_json,dataset,dataset_sha256,routes,routes_sha256,case_count,created_at_utc,id,difficulty,message,expected_route,predicted_route,correct,structured_response,prompt_tokens,completion_tokens,error,request_latency_sec
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_001,easy,Пишет ошибку 403.,CONTINUE,NEW,False,"{""route"": ""NEW""}",316,10,,0.10906399600207806
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_002,easy,А платить можно помесячно?,CONTINUE,NEW,False,"{""route"": ""NEW""}",314,10,,0.16074461600510404
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_003,easy,А сколько стоит тариф Pro?,NEW,NEW,True,"{""route"": ""NEW""}",315,10,,0.15986582800542237
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_004,easy,С 10 по 17 сентября.,CONTINUE,CONTINUE,True,"{""route"": ""CONTINUE""}",309,11,,0.16964583600201877
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_005,easy,А как оформить больничный?,NEW,NEW,True,"{""route"": ""NEW""}",307,10,,0.15973863800172694
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_006,easy,Лишний платёж вернётся автоматически?,CONTINUE,CONTINUE,True,"{""route"": ""CONTINUE""}",320,11,,0.16604538999672513
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_007,easy,Как удалить мой аккаунт?,NEW,NEW,True,"{""route"": ""NEW""}",316,10,,0.16079771600198
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_008,easy,PDF тоже поддерживается?,CONTINUE,CONTINUE,True,"{""route"": ""CONTINUE""}",308,12,,0.17945143399992958
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_009,easy,А где поменять пароль?,NEW,NEW,True,"{""route"": ""NEW""}",310,10,,0.15911048199632205
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_010,easy,А можно ещё за прошлый квартал?,CONTINUE,CONTINUE,True,"{""route"": ""CONTINUE""}",322,11,,0.16712826400180347
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_011,easy,Теперь создай отпуск Иванову.,NEW,NEW,True,"{""route"": ""NEW""}",321,10,,0.15734986899769865
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_012,easy,"Да, у всех отчётов белый экран.",CONTINUE,NEW,False,"{""route"": ""NEW""}",327,10,,0.15832009000587277
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_013,medium,А адрес доставки ещё можно изменить?,CONTINUE,CONTINUE,True,"{""route"": ""CONTINUE""}",313,11,,0.16873542800021823
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_014,medium,А где изменить email в профиле?,NEW,CONTINUE,False,"{""route"": ""CONTINUE""}",314,11,,0.16683959999500075
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_015,medium,"На /reports, в основном при больших отчётах.",CONTINUE,CONTINUE,True,"{""route"": ""CONTINUE""}",317,12,,0.1726251290019718
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_016,medium,Как создать нового пользователя через API?,NEW,NEW,True,"{""route"": ""NEW""}",310,10,,0.15689012100483524
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""NEW"", ""CONTINUE""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,30,2026-09-07T14:33:28.742895+00:00,case_017,medium,Можно вместо графика вывести таблицу?,CONTINUE,NEW,False,"{""route"": ""NEW""}",312,10,,0.15698095300467685
