id,difficulty,message,expected,predicted,correct,sampled_token,logprob_a,logprob_b,p_a,p_b,confidence,margin,latency_sec,prompt_tokens,completion_tokens,error,logprob_margin
case_001,easy,Пишет ошибку 403.,A,A,True,A,-5.960462772236497e-07,-21.78125,0.9999999996528448,3.471551199546704e-10,0.9999999996528448,0.9999999993056897,0.0441924389997439,253,1,,21.781249403953723
case_002,easy,А платить можно помесячно?,A,A,True,A,-4.768370445162873e-07,-16.84375,0.9999999515992036,4.840079626689743e-08,0.9999999515992036,0.9999999031984074,0.01748529399992549,251,1,,16.843749523162955
case_003,easy,А сколько стоит тариф Pro?,B,B,True,B,-24.703125,-1.1920928244535389e-07,1.8688273378909063e-11,0.9999999999813116,0.9999999999813116,0.9999999999626233,0.01723761699940951,252,1,,24.703124880790718
case_004,easy,С 10 по 17 сентября.,A,A,True,A,-2.3841855067985307e-07,-22.46875,0.9999999998254394,1.745604943699425e-10,0.9999999998254394,0.9999999996508789,0.017348686000332236,246,1,,22.46874976158145
case_005,easy,А как оформить больничный?,B,B,True,B,-21.234375,0.0,5.998299001837241e-10,0.99999999940017,0.99999999940017,0.9999999988003402,0.017015247000017553,244,1,,21.234375
case_006,easy,Лишний платёж вернётся автоматически?,A,A,True,A,-0.00019762947340495884,-8.531447410583496,0.9998028305348879,0.0001971694651121212,0.9998028305348879,0.9996056610697758,0.013637222000397742,257,1,,8.531249781110091
case_007,easy,Как удалить мой аккаунт?,B,B,True,B,-21.984375,-1.1920928244535389e-07,2.833396160471572e-10,0.9999999997166604,0.9999999997166604,0.9999999994333209,0.01743273500142095,253,1,,21.984374880790718
case_008,easy,PDF тоже поддерживается?,A,A,True,A,-2.3841855067985307e-07,-18.546875,0.999999991185562,8.814438067838165e-09,0.999999991185562,0.999999982371124,0.017091390000132378,245,1,,18.54687476158145
case_009,easy,А где поменять пароль?,B,B,True,B,-22.828125,-2.3841855067985307e-07,1.2186286488975538e-10,0.999999999878137,0.999999999878137,0.9999999997562742,0.016957897998508997,247,1,,22.82812476158145
case_010,easy,А можно ещё за прошлый квартал?,A,A,True,A,-2.4318398573086597e-05,-10.68752384185791,0.9999771719919288,2.282800807111114e-05,0.9999771719919288,0.9999543439838577,0.01697546200011857,259,1,,10.687499523459337
case_011,easy,Теперь создай отпуск Иванову.,B,B,True,B,-22.5625,-5.960462772236497e-07,1.5893919565498963e-10,0.9999999998410607,0.9999999998410607,0.9999999996821215,0.013932039000792429,258,1,,22.562499403953723
case_012,easy,"Да, у всех отчётов белый экран.",A,A,True,A,-4.768370445162873e-07,-18.6875,0.9999999923418817,7.658118340526216e-09,0.9999999923418817,0.9999999846837634,0.01736246200016467,264,1,,18.687499523162955
case_013,medium,А адрес доставки ещё можно изменить?,A,A,True,A,-5.960462772236497e-07,-16.3125,0.9999999176674651,8.233253492619447e-08,0.9999999176674651,0.9999998353349302,0.017575494000993785,250,1,,16.312499403953723
case_014,medium,А где изменить email в профиле?,B,B,True,B,-22.515625,-2.3841855067985307e-07,1.6656678734400763e-10,0.9999999998334332,0.9999999998334332,0.9999999996668665,0.017988572999456665,251,1,,22.51562476158145
case_015,medium,"На /reports, в основном при больших отчётах.",A,A,True,A,-2.3841855067985307e-07,-24.203125,0.9999999999691882,3.081175750513963e-11,0.9999999999691882,0.9999999999383764,0.017925744999956805,254,1,,24.20312476158145
case_016,medium,Как создать нового пользователя через API?,B,B,True,B,-23.765625,0.0,4.772217219946842e-11,0.9999999999522777,0.9999999999522777,0.9999999999045556,0.017448234000767116,247,1,,23.765625
