id,difficulty,message,expected_route,predicted_route,predicted_sum,correct,correct_sum,confidence,margin,routes_json,latency_sec,error
case_001,easy,Пишет ошибку 403.,CONTINUE,CONTINUE,CONTINUE,True,True,0.977713730203976,0.955427460407952,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-3.803891897201538], ""sum_logprob"": -3.803891897201538, ""mean_logprob"": -3.803891897201538, ""normalized_score_probability"": 0.022286269796024015}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.022641949355602264, -3.814689989667386e-06], ""sum_logprob"": -0.022645764045591932, ""mean_logprob"": -0.022645764045591932, ""normalized_score_probability"": 0.977713730203976}}",0.2856784859995969,
case_002,easy,А платить можно помесячно?,CONTINUE,CONTINUE,CONTINUE,True,True,0.9896717937145783,0.9793435874291565,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-4.573031902313232], ""sum_logprob"": -4.573031902313232, ""mean_logprob"": -4.573031902313232, ""normalized_score_probability"": 0.010328206285421776}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.010531917214393616, -5.245195097813848e-06], ""sum_logprob"": -0.01053716240949143, ""mean_logprob"": -0.01053716240949143, ""normalized_score_probability"": 0.9896717937145783}}",0.24587916899872653,
case_003,easy,А сколько стоит тариф Pro?,NEW,NEW,NEW,True,True,0.9999995549229066,0.9999991098458133,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-1.9073468138230965e-06], ""sum_logprob"": -1.9073468138230965e-06, ""mean_logprob"": -1.9073468138230965e-06, ""normalized_score_probability"": 0.9999995549229066}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-14.625001907348633, -1.7881233361549675e-05], ""sum_logprob"": -14.625019788581994, ""mean_logprob"": -14.625019788581994, ""normalized_score_probability"": 4.4507709334535836e-07}}",0.24675698700048088,
case_004,easy,С 10 по 17 сентября.,CONTINUE,CONTINUE,CONTINUE,True,True,0.9999745335022963,0.9999490670045925,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-10.578290939331055], ""sum_logprob"": -10.578290939331055, ""mean_logprob"": -10.578290939331055, ""normalized_score_probability"": 2.5466497703794247e-05}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.00016616393986623734, -3.4570634852570947e-06], ""sum_logprob"": -0.00016962100335149444, ""mean_logprob"": -0.00016962100335149444, ""normalized_score_probability"": 0.9999745335022963}}",0.23745581099865376,
case_005,easy,А как оформить больничный?,NEW,NEW,NEW,True,True,0.9539665489557636,0.9079330979115271,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-0.04714379087090492], ""sum_logprob"": -0.04714379087090492, ""mean_logprob"": -0.04714379087090492, ""normalized_score_probability"": 0.9539665489557636}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-3.0783936977386475, -1.0371154530730564e-05], ""sum_logprob"": -3.078404068893178, ""mean_logprob"": -3.078404068893178, ""normalized_score_probability"": 0.04603345104423647}}",0.23854165100237879,
case_006,easy,Лишний платёж вернётся автоматически?,CONTINUE,CONTINUE,CONTINUE,True,True,0.8918105522984282,0.7836211045968564,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-2.2240452766418457], ""sum_logprob"": -2.2240452766418457, ""mean_logprob"": -2.2240452766418457, ""normalized_score_probability"": 0.10818944770157174}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.11467038094997406, -5.006777428206988e-06], ""sum_logprob"": -0.11467538772740227, ""mean_logprob"": -0.11467538772740227, ""normalized_score_probability"": 0.8918105522984282}}",0.24456752500009316,
case_007,easy,Как удалить мой аккаунт?,NEW,NEW,NEW,True,True,0.9999599368522417,0.9999198737044833,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-4.470248313737102e-05], ""sum_logprob"": -4.470248313737102e-05, ""mean_logprob"": -4.470248313737102e-05, ""normalized_score_probability"": 0.9999599368522417}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-10.125044822692871, -1.3470558769768104e-05], ""sum_logprob"": -10.12505829325164, ""mean_logprob"": -10.12505829325164, ""normalized_score_probability"": 4.0063147758354894e-05}}",0.2446003360000759,
case_008,easy,PDF тоже поддерживается?,CONTINUE,CONTINUE,CONTINUE,True,True,0.9999801665243294,0.9999603330486588,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-10.828246116638184], ""sum_logprob"": -10.828246116638184, ""mean_logprob"": -10.828246116638184, ""normalized_score_probability"": 1.9833475670631703e-05}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.00012146688823122531, -5.125986263010418e-06], ""sum_logprob"": -0.00012659287449423573, ""mean_logprob"": -0.00012659287449423573, ""normalized_score_probability"": 0.9999801665243294}}",0.23704920499767468,
case_009,easy,А где поменять пароль?,NEW,CONTINUE,CONTINUE,False,False,0.9948603560610589,0.9897207121221179,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-5.270904541015625], ""sum_logprob"": -5.270904541015625, ""mean_logprob"": -5.270904541015625, ""normalized_score_probability"": 0.005139643938941112}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.005279645789414644, -6.318072337307967e-06], ""sum_logprob"": -0.005285963861751952, ""mean_logprob"": -0.005285963861751952, ""normalized_score_probability"": 0.9948603560610589}}",0.23730073800106766,
case_010,easy,А можно ещё за прошлый квартал?,CONTINUE,CONTINUE,CONTINUE,True,True,0.9999980052612485,0.9999960105224969,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-13.125077247619629], ""sum_logprob"": -13.125077247619629, ""mean_logprob"": -13.125077247619629, ""normalized_score_probability"": 1.9947387515899493e-06}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-7.724463648628443e-05, -4.529942543740617e-06], ""sum_logprob"": -8.177457903002505e-05, ""mean_logprob"": -8.177457903002505e-05, ""normalized_score_probability"": 0.9999980052612485}}",0.2458614770002896,
