model,base_url,temperature,seed,dataset,case_count,routes,route_config_sha256,prompt_version,scoring_formula,token_one,token_zero,created_at_utc,id,difficulty,message,expected_route,predicted_route,correct,score_margin,ranking_confidence_relative,candidates_json,latency_sec,prompt_tokens,completion_tokens,error
qwen3-4b,http://localhost:8000,0.0,0,dataset_v2.jsonl,30,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,independent-v1,logP(1)-logP(0),16,15,2026-09-04T12:22:21.798919+00:00,case_001,easy,Пишет ошибку 403.,CONTINUE,CONTINUE,True,6.703124999998181,0.9987744325516148,"[{""completion_tokens"": 1, ""latency_sec"": 0.019354131000000052, ""logp_match"": -1.9073468138230965e-06, ""logp_no_match"": -13.187501907348633, ""match_probability_binary"": 0.9999981261246162, ""name"": ""NEW"", ""prompt_tokens"": 303, ""relative_ranking_softmax"": 0.0012255674483852789, ""sampled_token"": ""1"", ""score"": 13.187500000001819}, {""completion_tokens"": 1, ""latency_sec"": 0.01786424600004466, ""logp_match"": 0.0, ""logp_no_match"": -19.890625, ""match_probability_binary"": 0.9999999977006169, ""name"": ""CONTINUE"", ""prompt_tokens"": 291, ""relative_ranking_softmax"": 0.9987744325516148, ""sampled_token"": ""1"", ""score"": 19.890625}]",0.03721837700004471,594,2,
qwen3-4b,http://localhost:8000,0.0,0,dataset_v2.jsonl,30,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,independent-v1,logP(1)-logP(0),16,15,2026-09-04T12:22:21.798919+00:00,case_002,easy,А платить можно помесячно?,CONTINUE,CONTINUE,True,3.796875357627812,0.9780517539621582,"[{""completion_tokens"": 1, ""latency_sec"": 0.017402759999981754, ""logp_match"": -3.576278118089249e-07, ""logp_no_match"": -14.71875, ""match_probability_binary"": 0.9999995947452874, ""name"": ""NEW"", ""prompt_tokens"": 301, ""relative_ranking_softmax"": 0.02194824603784177, ""sampled_token"": ""1"", ""score"": 14.718749642372188}, {""completion_tokens"": 1, ""latency_sec"": 0.013463300000012168, ""logp_match"": 0.0, ""logp_no_match"": -18.515625, ""match_probability_binary"": 0.9999999909057639, ""name"": ""CONTINUE"", ""prompt_tokens"": 289, ""relative_ranking_softmax"": 0.9780517539621582, ""sampled_token"": ""1"", ""score"": 18.515625}]",0.030866059999993922,590,2,
qwen3-4b,http://localhost:8000,0.0,0,dataset_v2.jsonl,30,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,independent-v1,logP(1)-logP(0),16,15,2026-09-04T12:22:21.798919+00:00,case_003,easy,А сколько стоит тариф Pro?,NEW,CONTINUE,False,8.281250160362106,0.9997468436684355,"[{""completion_tokens"": 1, ""latency_sec"": 0.017273045000024467, ""logp_match"": -0.7575990557670593, ""logp_no_match"": -0.6325990557670593, ""match_probability_binary"": 0.46879062662624377, ""name"": ""NEW"", ""prompt_tokens"": 302, ""relative_ranking_softmax"": 0.00025315633156451796, ""sampled_token"": ""0"", ""score"": -0.125}, {""completion_tokens"": 1, ""latency_sec"": 0.013480031999961284, ""logp_match"": -0.00028689560713246465, ""logp_no_match"": -8.156537055969238, ""match_probability_binary"": 0.9997131459636, ""name"": ""CONTINUE"", ""prompt_tokens"": 290, ""relative_ranking_softmax"": 0.9997468436684355, ""sampled_token"": ""1"", ""score"": 8.156250160362106}]",0.03075307699998575,592,2,
qwen3-4b,http://localhost:8000,0.0,0,dataset_v2.jsonl,30,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,independent-v1,logP(1)-logP(0),16,15,2026-09-04T12:22:21.798919+00:00,case_004,easy,С 10 по 17 сентября.,CONTINUE,CONTINUE,True,5.218749999999545,0.9946150620382195,"[{""completion_tokens"": 1, ""latency_sec"": 0.017679526000051737, ""logp_match"": -9.536738616588991e-07, ""logp_no_match"": -13.859375953674316, ""match_probability_binary"": 0.9999990429172271, ""name"": ""NEW"", ""prompt_tokens"": 296, ""relative_ranking_softmax"": 0.005384937961780395, ""sampled_token"": ""1"", ""score"": 13.859375000000455}, {""completion_tokens"": 1, ""latency_sec"": 0.017485768000028656, ""logp_match"": 0.0, ""logp_no_match"": -19.078125, ""match_probability_binary"": 0.9999999948182603, ""name"": ""CONTINUE"", ""prompt_tokens"": 284, ""relative_ranking_softmax"": 0.9946150620382195, ""sampled_token"": ""1"", ""score"": 19.078125}]",0.035165294000080394,580,2,
qwen3-4b,http://localhost:8000,0.0,0,dataset_v2.jsonl,30,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,independent-v1,logP(1)-logP(0),16,15,2026-09-04T12:22:21.798919+00:00,case_005,easy,А как оформить больничный?,NEW,CONTINUE,False,6.34374993480742,0.9982453854757134,"[{""completion_tokens"": 1, ""latency_sec"": 0.017422768999949767, ""logp_match"": -2.044826030731201, ""logp_no_match"": -0.1385759711265564, ""match_probability_binary"": 0.12940272487671914, ""name"": ""NEW"", ""prompt_tokens"": 294, ""relative_ranking_softmax"": 0.0017546145242866246, ""sampled_token"": ""0"", ""score"": -1.9062500596046448}, {""completion_tokens"": 1, ""latency_sec"": 0.017381048999936866, ""logp_match"": -0.011756068095564842, ""logp_no_match"": -4.44925594329834, ""match_probability_binary"": 0.9883127405628144, ""name"": ""CONTINUE"", ""prompt_tokens"": 282, ""relative_ranking_softmax"": 0.9982453854757134, ""sampled_token"": ""1"", ""score"": 4.437499875202775}]",0.03480381799988663,576,2,
qwen3-4b,http://localhost:8000,0.0,0,dataset_v2.jsonl,30,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,independent-v1,logP(1)-logP(0),16,15,2026-09-04T12:22:21.798919+00:00,case_006,easy,Лишний платёж вернётся автоматически?,CONTINUE,CONTINUE,True,5.593750119186097,0.9962927475658286,"[{""completion_tokens"": 1, ""latency_sec"": 0.01799650600003133, ""logp_match"": -6.794906312279636e-06, ""logp_no_match"": -11.906256675720215, ""match_probability_binary"": 0.9999932519476056, ""name"": ""NEW"", ""prompt_tokens"": 307, ""relative_ranking_softmax"": 0.003707252434171305, ""sampled_token"": ""1"", ""score"": 11.906249880813903}, {""completion_tokens"": 1, ""latency_sec"": 0.019092895000085264, ""logp_match"": 0.0, ""logp_no_match"": -17.5, ""match_probability_binary"": 0.999999974890009, ""name"": ""CONTINUE"", ""prompt_tokens"": 295, ""relative_ranking_softmax"": 0.9962927475658286, ""sampled_token"": ""1"", ""score"": 17.5}]",0.037089401000116595,602,2,
qwen3-4b,http://localhost:8000,0.0,0,dataset_v2.jsonl,30,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,independent-v1,logP(1)-logP(0),16,15,2026-09-04T12:22:21.798919+00:00,case_007,easy,Как удалить мой аккаунт?,NEW,CONTINUE,False,7.718750098720761,0.9995557816849127,"[{""completion_tokens"": 1, ""latency_sec"": 0.018230909999942924, ""logp_match"": -13.750000953674316, ""logp_no_match"": -1.0728830375228426e-06, ""match_probability_binary"": 1.0677029973235123e-06, ""name"": ""NEW"", ""prompt_tokens"": 303, ""relative_ranking_softmax"": 0.00044421831508734247, ""sampled_token"": ""0"", ""score"": -13.749999880791279}, {""completion_tokens"": 1, ""latency_sec"": 0.017446924999944713, ""logp_match"": -6.033649444580078, ""logp_no_match"": -0.002399662509560585, ""match_probability_binary"": 0.0023967313911954784, ""name"": ""CONTINUE"", ""prompt_tokens"": 291, ""relative_ranking_softmax"": 0.9995557816849127, ""sampled_token"": ""0"", ""score"": -6.0312497820705175}]",0.035677834999887637,594,2,
qwen3-4b,http://localhost:8000,0.0,0,dataset_v2.jsonl,30,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,independent-v1,logP(1)-logP(0),16,15,2026-09-04T12:22:21.798919+00:00,case_008,easy,PDF тоже поддерживается?,CONTINUE,CONTINUE,True,8.609374759107595,0.9998176453481336,"[{""completion_tokens"": 1, ""latency_sec"": 0.017189615999996022, ""logp_match"": -7.033100700937212e-05, ""logp_no_match"": -9.562570571899414, ""match_probability_binary"": 0.9999296881742672, ""name"": ""NEW"", ""prompt_tokens"": 295, ""relative_ranking_softmax"": 0.00018235465186645914, ""sampled_token"": ""1"", ""score"": 9.562500240892405}, {""completion_tokens"": 1, ""latency_sec"": 0.018268912999928943, ""logp_match"": 0.0, ""logp_no_match"": -18.171875, ""match_probability_binary"": 0.9999999871750714, ""name"": ""CONTINUE"", ""prompt_tokens"": 283, ""relative_ranking_softmax"": 0.9998176453481336, ""sampled_token"": ""1"", ""score"": 18.171875}]",0.035458528999924965,578,2,
qwen3-4b,http://localhost:8000,0.0,0,dataset_v2.jsonl,30,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,independent-v1,logP(1)-logP(0),16,15,2026-09-04T12:22:21.798919+00:00,case_009,easy,А где поменять пароль?,NEW,CONTINUE,False,17.031249968298653,0.9999999598743482,"[{""completion_tokens"": 1, ""latency_sec"": 0.017407418999937363, ""logp_match"": -6.439099311828613, ""logp_no_match"": -0.001599105424247682, ""match_probability_binary"": 0.0015978451647420651, ""name"": ""NEW"", ""prompt_tokens"": 297, ""relative_ranking_softmax"": 4.0125651919056896e-08, ""sampled_token"": ""0"", ""score"": -6.437500206404366}, {""completion_tokens"": 1, ""latency_sec"": 0.017285237000010056, ""logp_match"": -2.5033637939486653e-05, ""logp_no_match"": -10.593774795532227, ""match_probability_binary"": 0.9999749284001825, ""name"": ""CONTINUE"", ""prompt_tokens"": 285, ""relative_ranking_softmax"": 0.9999999598743482, ""sampled_token"": ""1"", ""score"": 10.593749761894287}]",0.03469265599994742,582,2,
qwen3-4b,http://localhost:8000,0.0,0,dataset_v2.jsonl,30,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,independent-v1,logP(1)-logP(0),16,15,2026-09-04T12:22:21.798919+00:00,case_010,easy,А можно ещё за прошлый квартал?,CONTINUE,CONTINUE,True,7.9218752381730155,0.9996374100200447,"[{""completion_tokens"": 1, ""latency_sec"": 0.017236054000022705, ""logp_match"": -2.2172682292875834e-05, ""logp_no_match"": -10.718771934509277, ""match_probability_binary"": 0.9999778743256346, ""name"": ""NEW"", ""prompt_tokens"": 309, ""relative_ranking_softmax"": 0.00036258997995537815, ""sampled_token"": ""1"", ""score"": 10.718749761826984}, {""completion_tokens"": 1, ""latency_sec"": 0.017478744999948503, ""logp_match"": 0.0, ""logp_no_match"": -18.640625, ""match_probability_binary"": 0.9999999919743648, ""name"": ""CONTINUE"", ""prompt_tokens"": 297, ""relative_ranking_softmax"": 0.9996374100200447, ""sampled_token"": ""1"", ""score"": 18.640625}]",0.03471479899997121,606,2,
