model,served_models_json,base_url,prompt_version,system_prompt,temperature,seed,thinking_enabled,structured_output,route_names_json,dataset,dataset_sha256,routes,routes_sha256,case_count,created_at_utc,id,difficulty,message,expected_route,predicted_route,correct,structured_response,prompt_tokens,completion_tokens,error,request_latency_sec
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""CONTINUE"", ""NEW""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,2026-09-07T14:33:23.404909+00:00,case_001,easy,Пишет ошибку 403.,CONTINUE,CONTINUE,True,"{""route"": ""CONTINUE""}",316,11,,0.1389377390005393
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""CONTINUE"", ""NEW""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,2026-09-07T14:33:23.404909+00:00,case_002,easy,А платить можно помесячно?,CONTINUE,CONTINUE,True,"{""route"": ""CONTINUE""}",314,11,,0.19776218199694995
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""CONTINUE"", ""NEW""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,2026-09-07T14:33:23.404909+00:00,case_003,easy,А сколько стоит тариф Pro?,NEW,NEW,True,"{""route"": ""NEW""}",315,10,,0.16063064099580515
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""CONTINUE"", ""NEW""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,2026-09-07T14:33:23.404909+00:00,case_004,easy,С 10 по 17 сентября.,CONTINUE,CONTINUE,True,"{""route"": ""CONTINUE""}",309,11,,0.18218875899765408
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""CONTINUE"", ""NEW""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,2026-09-07T14:33:23.404909+00:00,case_005,easy,А как оформить больничный?,NEW,NEW,True,"{""route"": ""NEW""}",307,10,,0.16751814999588532
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""CONTINUE"", ""NEW""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,2026-09-07T14:33:23.404909+00:00,case_006,easy,Лишний платёж вернётся автоматически?,CONTINUE,CONTINUE,True,"{""route"": ""CONTINUE""}",320,11,,0.18324270899756812
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""CONTINUE"", ""NEW""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,2026-09-07T14:33:23.404909+00:00,case_007,easy,Как удалить мой аккаунт?,NEW,NEW,True,"{""route"": ""NEW""}",316,10,,0.16735184600111097
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""CONTINUE"", ""NEW""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,2026-09-07T14:33:23.404909+00:00,case_008,easy,PDF тоже поддерживается?,CONTINUE,CONTINUE,True,"{""route"": ""CONTINUE""}",308,11,,0.18837981399701675
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""CONTINUE"", ""NEW""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,2026-09-07T14:33:23.404909+00:00,case_009,easy,А где поменять пароль?,NEW,NEW,True,"{""route"": ""NEW""}",310,10,,0.16462819499429315
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""CONTINUE"", ""NEW""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,2026-09-07T14:33:23.404909+00:00,case_010,easy,А можно ещё за прошлый квартал?,CONTINUE,CONTINUE,True,"{""route"": ""CONTINUE""}",322,11,,0.19262908399832668
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""CONTINUE"", ""NEW""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,2026-09-07T14:33:23.404909+00:00,case_011,easy,Теперь создай отпуск Иванову.,NEW,NEW,True,"{""route"": ""NEW""}",321,10,,0.16756787399936002
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""CONTINUE"", ""NEW""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,2026-09-07T14:33:23.404909+00:00,case_012,easy,"Да, у всех отчётов белый экран.",CONTINUE,CONTINUE,True,"{""route"": ""CONTINUE""}",327,11,,0.19284432000131346
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""CONTINUE"", ""NEW""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,2026-09-07T14:33:23.404909+00:00,case_013,medium,А адрес доставки ещё можно изменить?,CONTINUE,CONTINUE,True,"{""route"": ""CONTINUE""}",313,11,,0.186697990000539
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""CONTINUE"", ""NEW""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,2026-09-07T14:33:23.404909+00:00,case_014,medium,А где изменить email в профиле?,NEW,NEW,True,"{""route"": ""NEW""}",314,10,,0.16514557199843694
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""CONTINUE"", ""NEW""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,2026-09-07T14:33:23.404909+00:00,case_015,medium,"На /reports, в основном при больших отчётах.",CONTINUE,CONTINUE,True,"{""route"": ""CONTINUE""}",317,11,,0.18719547899672762
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""CONTINUE"", ""NEW""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,2026-09-07T14:33:23.404909+00:00,case_016,medium,Как создать нового пользователя через API?,NEW,NEW,True,"{""route"": ""NEW""}",310,10,,0.1646414110000478
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""CONTINUE"", ""NEW""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,2026-09-07T14:33:23.404909+00:00,case_017,medium,Можно вместо графика вывести таблицу?,CONTINUE,CONTINUE,True,"{""route"": ""CONTINUE""}",312,12,,0.1935853590039187
qwen3-4b,"[""qwen3-4b""]",http://localhost:8000,structured-routing-v1,Ты выполняешь маршрутизацию диалога. Выбери один наиболее подходящий маршрут согласно описаниям доступных маршрутов. Верни выбор в требуемом структурированном формате.,0.0,0,False,json_schema,"[""CONTINUE"", ""NEW""]",dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_continue_first.json,cfdff764daf9e962e49fb05003148c1469462fc1e0558573cf08a02430da4561,30,2026-09-07T14:33:23.404909+00:00,case_018,medium,А как подключить новый MCP-инструмент?,NEW,CONTINUE,False,"{""route"": ""CONTINUE""}",314,11,,0.17658607499470236
